name,abbreviation,url,id,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,publications,_normalized_name
The ExtraCorporeal Membrane Oxygenation in COVID-19,ECMO in COVID-19,https://www.elso.org/ecmo-resources/covid-19.aspx,3251,The ExtraCorporeal Membrane Oxygenation (ECMO) in COVID-19 website as a resource for centers who may be called on to manage COVID-19 patients.,ready,repository,United States,2020,,,Extracorporeal Life Support Organization,Consortium,Ryan P Barbaro,barbaror@med.umich.edu,open,not applicable,10.1097/MAT.0000000000001422; 10.1097/MAT.0000000000001173; S0140-6736(20)32008-0,the extracorporeal membrane oxygenation in covid-19
Therapeutic Target Database,TTD,http://db.idrblab.net/ttd/,1694,"The Therapeutic Target Database provides information about therapeutic protein and nucleic acid targets, the targeted disease, pathway information and the corresponding drugs directed at each of these targets.  Also included in this database are links to relevant databases containing information about target function, sequence, 3D structure, ligand binding properties, enzyme nomenclature and drug structure, therapeutic class, clinical development status. All information is fully referenced.",ready,knowledgebase,"China, Singapore",2002,"Singapore Academic Research Fund; National Natural Science Foundation of China (NSFC), Beijing, China",Government body; Undefined,"National University of Singapore, Singapore",University,Ying Zhou ; Yintao Zhang,zhou_ying@zju.edu.cn; zhangyintao@zju.edu.cn,open,controlled,10.1093/nar/gkp1014; 10.1093/nar/30.1.412; 10.1093/nar/gkt1129; 10.1093/nar/gkv1230; 10.1093/nar/gkab953,therapeutic target database
UCSC Genome Browser database,,http://genome.ucsc.edu,1651,"Genome assemblies and aligned annotations for a wide range of vertebrates and model organisms, along with an integrated tool set for visualizing, comparing, analyzing and sharing both publicly available and user-generated genomic datasets.",ready,knowledgebase,United States,2001,"National Human Genome Research Institute (NHGRI), Bethesda, MD, USA",Government body,"Genomics Institute, University of California, Santa Cruz, CA, USA",University,Public Mailing List; Private Internal  Mailing List,genome@soe.ucsc.edu; genome-www@soe.ucsc.edu,open,not applicable,10.1093/nar/gkh103; 10.1101/gr.229202; 10.1101/gr.3694705; 10.1093/nar/gks1048; 10.1002/0471250953.bi0104s40; 10.1093/nar/gkw1134; 10.1093/nar/gks1172; 2020.09.26.314971; 10.1186/s13100-020-00208-w; 10.1093/nar/gkaa1070; 10.1038/s41588-020-0700-8; 10.1101/gr.229102; 10.1038/35057062; 10.1101/gr.183201; 10.1093/nar/gkv1275; 10.1093/nar/gku1177; 10.1093/nar/gkz1012; 10.1093/nar/gky1095; 10.1093/nar/gkx1020; 10.1093/nar/gkab959,ucsc genome browser database
VirHostNet,,http://virhostnet.prabi.fr,1914,"VirHostNet is a bioinformatic information system dedicated to the biocuration, data integration, reproducible systems-level analysis and visualisation of Virus / Host protein-protein interactions Network based on graph theory. VirHostNet is an open and gold standard knowledgebase shared in PSI MITAB 2.5 format using the PSICQUIC webservice and distributed through the NDEx platform.",ready,knowledgebase,France,2007,"Universite de Lyon, France; Rhone-Alpes Bioinformatics Center Platform; Fondation Innovations en Infectiologie",University; Government body; Consortium,"Universite de Lyon, France; French Institute of Bioinformatic",Research institute; University,Vincent Navratil,navratil@prabi.fr,open,not applicable,10.1093/nar/gku1121; 10.1093/nar/gkn794,virhostnet
ViralZone,ViralZone,http://viralzone.expasy.org/,2399,"ViralZone is a web resource for viral genes and families, providing detailed molecular and epidemiological information, along with virion and genome figures. Each virus or family page gives easy access to UniProtKB/Swiss-Prot viral protein entries.",ready,knowledgebase,Switzerland,2010,,,"Swiss Institute of Bioinformatics (SIB), Switzerland",Research institute,Philippe Le Mercier,Philippe.Lemercier@sib.swiss,open,not applicable,10.1093/nar/gks1220; 10.1093/nar/gkq901,viralzone
ViruSurf,ViruSurf,http://gmql.eu/virusurf/,3137,"ViruSurf is a large public database of viral sequences and integrated and curated metadata from heterogeneous sources (RefSeq, GenBank, COG-UK and NMDC); it also exposes computed nucleotide and amino acid variants, called from original sequences. A GISAID-specific ViruSurf database offers a subset of these functionalities. Given the current pandemic outbreak, SARS-CoV-2 data are collected from the four sources; but ViruSurf contains other virus species harmful to humans, including SARS-CoV, MERS-CoV, Ebola, and Dengue. The database is centered on sequences, described from their biological, technological, and organizational dimensions. In addition, the analytical dimension characterizes the sequence in terms of its annotations and variants. The web interface enables expressing complex search queries in a simple way; arbitrary search queries can freely combine conditions on attributes from the four dimensions, extracting the resulting sequences. Several example queries on the database confirm and possibly improve results from recent research papers; results can be recomputed over time and upon selected populations. Effective search over large and curated sequence data may enable faster responses to future threats that could arise from new viruses.",ready,knowledgebase,Italy,2020,The European Research Council (ERC); European Institute of Innovation & Technology (EIT),Government body; Undefined,Politecnico di Milano,University,Arif Canakoglu,acanak@gmail.com,not found,not found,https://doi.org/10.1093/nar/gkaa846,virusurf
WikiPathways,WikiPathways,https://wikipathways.org,1698,"WikiPathways is an open, collaborative platform dedicated to the curation of biological pathways. WikiPathways was established to facilitate the contribution and maintenance of pathway information by the biology community.",ready,knowledgebase,"Netherlands, United Kingdom, United States",2007,National Institute of General Medical Sciences; National Institute of General Medical Sciences; European Commission FP7; National Institute of General Medical Sciences; National Institutes of Health; National Institutes of Health,Government body,"Gladstone Institutes; Department of Bioinformatics, Universiteit Maastricht",University; Government body,Martina Summer-Kutmon,martina.kutmon@maastrichtuniversity.nl,open,controlled,10.1371/journal.pbio.0060184; 10.1371/journal.pone.0006447; 10.1093/nar/gkr1074; 10.1093/nar/gkaa1024; 10.1093/nar/gkv1024,wikipathways
WorkflowHub,,https://workflowhub.eu,3073,"The WorkflowHub is a registry of scientific workflows.  WorkflowHub aims to facilitate discovery and re-use of workflows in an accessible and interoperable way. This is achieved through extensive use of open standards and tools, including CWL, RO-Crate, Bioschemas and GA4GH's TRS API, in accordance with the FAIR principles. WorkflowHub supports workflows of any type in its native repository. ",ready,repository,"Belgium, United Kingdom",2020,"ERANET proposal Systems Biology Applications; Biotechnology and Biological Sciences Research Council; The Swiss Initiative in Systems Biology (SystemsX.ch), Zurich, Switzerland; ELIXIR Europe; Netherlands Organisation for Scientific Research; EOSC-Life; FAIRDOM; European Commission Horizon 2020; Federal Ministry of Education and Research; BY-COVID (BeYond COVID) Project; EuroScience Gateway; German Network for Bioinformatics Infrastructure; IBISBA; AgroServ",Research institute; Government body; Consortium,University of Manchester,University,Finn Bacall,finn.bacall@manchester.ac.uk,open,open,https://doi.org/10.48550/arXiv.2410.06941; 10.1038/s41597-025-04786-3,workflowhub
Zoltar,Zoltar,https://zoltardata.com/,3255,"Zoltar is a research data repository that stores forecasts made by external models in standard formats and provides tools for validation, visualization, and scoring. Zoltar can host real-time or retrospective forecasting challenges, competitions, or research projects, with users specifying the forecast targets.",in_development,repository,United States,2020,"National Institute of General Medical Sciences (NIGMS), Bethesda, MD, USA",Government body,"Reich Lab, Department of Biostatistics and Epidemiology, University of Massachusetts Amherst, Amherst, MA, USA",Lab,General Contact,zoltar@reichlab.io,open,open,,zoltar
bio.tools,,https://bio.tools/,3300,bio.tools is a registry of information about bioinformatics software and data services. It was created to help researchers in biological and biomedical science to find and use such resources.,ready,repository,Denmark,2015,"Horizon 2020 Programme of the European Union - EXCELERATE; The Ministry of Higher Education and Science, Copenhagen, Denmark",Government body,,,Support Email,registry-support@elixirmail.cbs.dtu.dk,open,open,10.1093/nar/gkv1116,bio.tools
